"","Year","President","Sentences"
"35",2023,"Ramaphosa","Without a reliable supply of electricity, our efforts to grow an inclusive economy that creates jobs and reduces poverty will not succeed.      "
"36",2023,"Ramaphosa","Therefore, as we outline our agenda for the year ahead, our most immediate task is to dramatically reduce the severity of load-shedding in the coming months and ultimately end load-shedding altogether.      "
"37",2023,"Ramaphosa","Under these conditions, we cannot proceed as we usually would.      "
"38",2023,"Ramaphosa","The people of South Africa want action, they want solutions and they want government to work for them.      "
"39",2023,"Ramaphosa","They simply want to know when a problem like load-shedding will be brought to an end.     "
"40",2023,"Ramaphosa","We are, therefore, focused on those actions that will make a meaningful difference now, that will enable real progress within the next year and that will lay a foundation for a sustained recovery into the future.      "
"41",2023,"Ramaphosa","We are not presenting new plans, nor are we outlining here the full programme of government.     "
"42",2023,"Ramaphosa","Rather we are concentrating on those issues that concern South Africans the most:      Load-shedding.      "
"43",2023,"Ramaphosa","Unemployment.      "
"44",2023,"Ramaphosa","Poverty and the rising cost of living.      "
"45",2023,"Ramaphosa","Crime and corruption.      "
"46",2023,"Ramaphosa","There are no easy solutions to any of these challenges.      "
"47",2023,"Ramaphosa","Yet we have the strength, the means and the wherewithal to overcome them.     "
"48",2023,"Ramaphosa","If we work together and act boldly and decisively, leaving no one behind, we will be able to resolve our challenges.      "
"49",2023,"Ramaphosa","This State of the Nation Address (SoNA) is about seeing hope where there is despair.      "
"50",2023,"Ramaphosa","It is about showing a way out of these crises.      "
"51",2023,"Ramaphosa","This evening, we will give an account of our progress in implementing the commitments we made in last year’s SoNA.     "
"52",2023,"Ramaphosa","Over the course of the last year, we have laid a firm foundation based on the commitments we made for faster growth through our investment drive, economic reforms, public employment programmes and an expanding infrastructure programme.      "
"53",2023,"Ramaphosa","What is clear from our experience of the last few years – indeed from our history as a democracy – is that we are not a people easily resigned to our fate.   "
"54",2023,"Ramaphosa","When we faced the greatest challenge of apartheid, we did not submit to the oppression that the apartheid regime imposed on our people.     "
"55",2023,"Ramaphosa","We stood firm and engaged in a struggle, hopeful that our cause would triumph. "
"56",2023,"Ramaphosa","And it did. "
"57",2023,"Ramaphosa","Against all odds we were able to defeat the apartheid system.    "
"58",2023,"Ramaphosa","We can, and we will change the circumstances in which we find ourselves today.      "
"59",2023,"Ramaphosa","We are both able and determined to overcome these difficulties and place our economy on a firm path to recovery.      "
"60",2023,"Ramaphosa","Our most immediate priority is to restore energy security.      "
"61",2023,"Ramaphosa","We are in the grip of a profound energy crisis, the seeds of which were planted many years ago.      "
"62",2023,"Ramaphosa","We cannot undo the mistakes that were made in the past, the capacity that was not built, the damage that was done to our power plants due to a lack of maintenance, or the effects of state capture on our institutions.      "
"63",2023,"Ramaphosa","What we can do is to fix the problem today, to keep the lights on tomorrow and for generations to come.      "
"64",2023,"Ramaphosa","In July last year, I announced a clear action plan to address the energy crisis.     "
"65",2023,"Ramaphosa","This was to address the electricity shortfall of 4 000 to 6 000 megawatts (MW).    "
"66",2023,"Ramaphosa","The plan outlined five key interventions:     First, fix Eskom’s coal-fired power stations and improve the availability of existing supply.         "
"67",2023,"Ramaphosa","Second, enable and accelerate private investment in generation capacity.     "
"68",2023,"Ramaphosa","Three, accelerate procurement of new capacity from renewables, gas and battery storage.    "
"69",2023,"Ramaphosa","Four, unleash businesses and households to invest in rooftop solar.     "
"70",2023,"Ramaphosa","Five, fundamentally transform the electricity sector to achieve long-term energy security.     "
"71",2023,"Ramaphosa","Experts agree that this plan is the most realistic route to end load-shedding.      "
"72",2023,"Ramaphosa","During the last six months, we have made important progress in implementing the plan.      "
"73",2023,"Ramaphosa","We have taken steps to improve the performance of Eskom’s existing power stations so that the coal-fired power stations that provide 80% of our electricity produce the amount of electricity for which they were designed.     "
"74",2023,"Ramaphosa","Under its new board, Eskom is deploying people and resources to improve the reliability of the six power stations that have contributed the most to load-shedding.      "
"75",2023,"Ramaphosa","Eskom is urgently fast-tracking construction of a temporary solution to bring back three units at Kusile power station following the collapse of a chimney stack last year, whilst simultaneously repairing the permanent structure.     "
"76",2023,"Ramaphosa","We are rebuilding the skills that have been lost and have already recruited skilled personnel at senior levels to be deployed at underperforming power stations.      "
"77",2023,"Ramaphosa","The Engineering Council of South Africa has offered to give as much assistance as required by deploying engineers to work with the management teams at power stations.     "
"78",2023,"Ramaphosa","We have deep skills and expertise right here in South Africa – we just need to use them.     "
"79",2023,"Ramaphosa","National Treasury is finalising a solution to Eskom’s R400 billion debt burden in a manner that is equitable and fair to all stakeholders, which will enable the utility to make necessary investments in maintenance and transmission.     "
"80",2023,"Ramaphosa","Government will support Eskom to secure additional funding to purchase diesel for the rest of the financial year. "
"81",2023,"Ramaphosa","This should reduce the severity of load-shedding as Eskom will be able to use its diesel-run plants when the system is under strain.     "
"82",2023,"Ramaphosa","Eskom has launched a programme to buy excess power from private generators and has already secured 300 MW from our neighbouring countries.     "
"83",2023,"Ramaphosa","The South African Police Service (SAPS) has established a dedicated team with senior leadership to deal with the pervasive corruption and theft at several power stations that has contributed to the poor performance of these stations. "
"84",2023,"Ramaphosa","Intelligence-driven operations at Eskom-related sites have so far resulted in 43 arrests.      "
"85",2023,"Ramaphosa","As part of the broader reform process, the restructuring of Eskom that we previously announced is proceeding and the National Transmission Company will be soon operational with an independent board.      "
"86",2023,"Ramaphosa","Later this year, we will table the Electricity Regulation Amendment Bill to transform the energy sector and establish a competitive electricity market.      "
"87",2023,"Ramaphosa","As indicated in July last year, and with a view to addressing the load-shedding crisis, we are going to proceed with the rollout of rooftop solar panels.     "
"88",2023,"Ramaphosa","In his Budget Speech, the Minister of Finance will outline how households will be assisted and how businesses will be able to benefit from a tax incentive.     "
"89",2023,"Ramaphosa","National Treasury is working on adjustments to the bounce-back loan scheme to help small businesses invest in solar equipment, and to allow banks and development finance institutions to borrow directly from the scheme to facilitate the leasing of solar panels to their customers.     "
"90",2023,"Ramaphosa","One of the potent reforms we have embarked upon is to allow private developers to generate electricity. "
"91",2023,"Ramaphosa","There are now more than 100 projects, which are expected to provide over 9 000 MW of new capacity over time.      "
"92",2023,"Ramaphosa","A number of companies that have participated in the renewable energy programme will soon enter construction and deliver a total of 2 800 MW of new capacity.      "
"93",2023,"Ramaphosa","Eskom will procure emergency power that can be deployed within six months to close the immediate gap.      "
"94",2023,"Ramaphosa","We are investing in new transmission lines and substations, especially in areas such as the Eastern Cape, Northern Cape and Western Cape.     "
"95",2023,"Ramaphosa","All of these measures will result in a massive increase in power to the grid over the next 12 to 18 months, and beyond.      "
"96",2023,"Ramaphosa","This power will be in line with our diverse mix of energy sources, including our current coal-fired power stations, solar, wind, gas, nuclear, hydro and battery storage.    "
"97",2023,"Ramaphosa","To fully implement this plan, we need strong central coordination and decisive action.      "
"98",2023,"Ramaphosa","In a time of crisis, we need a single point of command and a single line of march.      "
"99",2023,"Ramaphosa","Just as we address the cause of the crisis, we also need to address its impact.      "
"100",2023,"Ramaphosa","The crisis has progressively evolved to affect every part of society.     "
"101",2023,"Ramaphosa","We must act to lessen the impact of the crisis on farmers, on small businesses, on our water infrastructure and our transport network.      "
"102",2023,"Ramaphosa","The National Disaster Management Centre has consequently classified the energy crisis and its impact as a disaster.      "
"103",2023,"Ramaphosa","We are, therefore, declaring a national state of disaster to respond to the electricity crisis and its effects.     "
"104",2023,"Ramaphosa","The Minister of Cooperative Governance and Traditional Affairs has just gazetted the declaration of the state of disaster, which will begin with immediate effect.    "
"105",2023,"Ramaphosa","The state of disaster will enable us to provide practical measures that we need to take to support businesses in the food production, storage and retail supply chain, including for the roll-out of generators, solar panels and uninterrupted power supply.    "
"106",2023,"Ramaphosa","Where technically possible, it will enable us to exempt critical infrastructure such as hospitals and water treatment plants from load-shedding.    "
"107",2023,"Ramaphosa","And it will enable us to accelerate energy projects and limit regulatory requirements while maintaining rigorous environmental protections, procurement principles and technical standards.    "
"108",2023,"Ramaphosa","The Auditor-General will be brought in to ensure continuous monitoring of expenditure, in order to guard against any abuses of the funds needed to attend to this disaster.     "
"109",2023,"Ramaphosa","To deal more effectively and urgently with the challenges that confront us, I will appoint a Minister of Electricity in The Presidency to assume full responsibility for overseeing all aspects of the electricity crisis response, including the work of the National Energy Crisis Committee.      "
"110",2023,"Ramaphosa","The Minister will focus full-time and work with the Eskom board and management on ending load-shedding and ensuring that the Energy Action Plan is implemented without delay.     "
"111",2023,"Ramaphosa","So as to remove any confusion, the Minister of Public Enterprises will remain the shareholder representative of Eskom and steer the restructuring of Eskom, ensure the establishment of the transmission company, oversee the implementation of the just energy transition programme, and oversee the establishment of the State-Owned Enterprises (SOEs) Holding Company.    "
"112",2023,"Ramaphosa","The process of restructuring government will give us an opportunity to determine the positioning of various areas of responsibilities and how best the various ministries and departments can best serve our national objectives. "
"113",2023,"Ramaphosa","We are focusing our attention on the energy crisis right now and will address the restructuring of government in due course.    "
"114",2023,"Ramaphosa","This is necessary because an effective response to this crisis involves several different departments and entities that require coordination from the centre of government.     "
"115",2023,"Ramaphosa","We will be including other social partners in an effective structure similar to the one we set up to drive the vaccine rollout.     "
"116",2023,"Ramaphosa","Extraordinary circumstances call for extraordinary measures.      "
"117",2023,"Ramaphosa","The energy crisis is an existential threat to our economy and social fabric.      "
"118",2023,"Ramaphosa","We must spare no effort, and we must allow no delay, in implementing these measures.     "
"119",2023,"Ramaphosa","As we take these actions to resolve the energy crisis, we are mindful of the risks that climate change poses to our society.      "
"120",2023,"Ramaphosa","Extreme weather events in the form of drought, floods and wild fires increasingly pose a risk to the health, well-being and safety of people.      "
"121",2023,"Ramaphosa","We will continue our just transition to a low carbon economy at a pace our country can afford and in a manner that ensures energy security.      "
"122",2023,"Ramaphosa","We will undertake our just transition in a way that opens up the possibility of new investments, new industrialisation and that, above all, creates new jobs.     "
"123",2023,"Ramaphosa","The Presidential Climate Commission is guiding much of this work, and, in doing so, building a new model for inclusive and collective decision making, incorporating the individuals, workers, and communities that are most affected in the transition.      "
"124",2023,"Ramaphosa","Through the Just Energy Transition Investment Plan, R1.5 trillion will be invested in our economy over the next five years in new frontiers such as renewable energy, green hydrogen and electric vehicles.      "
"125",2023,"Ramaphosa","Several new sectors are emerging in the economy, such as major green hydrogen, electric vehicles and fuel cells.     "
"126",2023,"Ramaphosa","A number of projects are already underway, including the development of a new facility by Sasol at Boegoebaai in the Northern Cape, the Prieska Power Reserve in the Free State, and the Hydrogen Valley initiative in Limpopo, Gauteng and KwaZulu-Natal.     "
"127",2023,"Ramaphosa","The Northern Cape has already attracted well over R100 billion in investments in renewable energy projects.     "
"128",2023,"Ramaphosa","These and other massive investments in renewable energy will create jobs and stimulate local economies not only in the Northern Cape, but also in the Eastern Cape, Western Cape and Mpumalanga, turning even the most arid desert into a giant energy source.      "
"129",2023,"Ramaphosa","Above all, our just transition will prioritise workers and communities in vulnerable industries to ensure that no one is left behind.      "
"130",2023,"Ramaphosa","Fellow South Africans,    Our economy needs to grow much faster if we are to meaningfully reduce unemployment.    "
"131",2023,"Ramaphosa","In the SoNA last year, we spoke of our intention to forge a comprehensive social compact that would join all social partners in a common programme to rebuild our economy and enable higher growth.     "
"132",2023,"Ramaphosa","We were not able to conclude a social compact in the timeframe we had envisaged because a number of new circumstances emerged that made it difficult for social partners to forge a consensus.    "
"133",2023,"Ramaphosa","The social partners have expressed their intention to conclude a social compact and have continued to work on a framework to enable joint action in key areas such as energy, transport and logistics, employment creation and skills development, investment and localisation, social protection, crime and corruption.    "
"134",2023,"Ramaphosa","While we remain committed to forging a new consensus among all sectors of our society, we have also undertaken practical collaboration in specific areas. "
"135",2023,"Ramaphosa","A number of other compacts have been concluded amongst social partners.    "
"136",2023,"Ramaphosa","We see the commitment of all social partners in the compacts that have been forged to fight the COVID-19 pandemic and undertake the largest vaccination programme in our history.     "
"137",2023,"Ramaphosa","We have seen it in initiatives like the Solidarity Fund that mobilised society, citizen activism and funding to achieve common goals, and in partnerships to end gender-based violence and femicide (GBVF), and to respond to the effects of climate change.     "
"138",2023,"Ramaphosa","We have seen the benefits of this approach to promote investment and to develop master plans in sectors of the economy such as automotive, clothing and textiles, poultry, sugar, agriculture and global business services.    "
"139",2023,"Ramaphosa","The master plans that have been concluded are supporting the revival of the relevant sectors, the injection of investment by the private sector and the creation of new jobs and livelihoods.     "
"140",2023,"Ramaphosa","We are pleased that social partners, particularly business, has been providing support to implement the Energy Action Plan in the spirit of social compacting. "
"141",2023,"Ramaphosa","Similarly, we have developed a close working partnership with both labour and community in supporting other aspects of the energy crisis response.     "
"142",2023,"Ramaphosa","Just as energy is essential for economic growth, so is a reliable water supply and an efficient transport and road infrastructure system.      "
"143",2023,"Ramaphosa","Our rail network has suffered from many years of underinvestment, lack of maintenance, criminal activity and inefficiency.    "
"144",2023,"Ramaphosa","To address this, last year, we adopted the National Rail Policy to guide the modernisation and reform of the rail sector, providing, among other things, for third-party access to our rail network.     "
"145",2023,"Ramaphosa","We are working across government to develop a Transnet Roadmap that will translate our policy commitments into reality, including the restructuring of Transnet Freight Rail to create a separate Infrastructure Manager for the rail network by October 2023.     "
"146",2023,"Ramaphosa","Transnet and private sector companies will conclude partnerships at the Durban and Ngqura container terminals, to enable new investment in our ports and improve their efficiency.    "
"147",2023,"Ramaphosa","This will help our ports regain their global position as some of the most efficient ports once again.    "
"148",2023,"Ramaphosa","There has been great success in repositioning the Port Elizabeth Automotive Terminal, which has more than doubled its capacity and has already seen an increase in exports.     "
"149",2023,"Ramaphosa","Many more vehicles destined for overseas markets are rolling off the Port Elizabeth Automotive Terminal.     "
"150",2023,"Ramaphosa","Transnet is also rehabilitating its idle locomotives and expanding its fleet.      "
"151",2023,"Ramaphosa","We have faced challenges in the transportation of commuters on passenger rail.    "
"152",2023,"Ramaphosa","Following the restructuring that is underway in the Passenger Rail Agency of South Africa, 13 commuter rail lines have been reopened, significantly reducing the cost of travel for many workers.      "
"153",2023,"Ramaphosa","The reliable supply of water is essential for the well-being of people and the growth of our economy.     "
"154",2023,"Ramaphosa","To ensure water security now and into the future, the Department of Water and Sanitation is leading the process of investing in major infrastructure projects across the country.      "
"155",2023,"Ramaphosa","After being delayed for several years, full-scale construction works for the Lesotho Highlands Phase Two project will commence this year.      "
"156",2023,"Ramaphosa","The Lesotho Highlands project is critical for ensuring security of water supply to Gauteng, Free State, Mpumalanga, North West and the Northern Cape.     "
"157",2023,"Ramaphosa","Several decades after it was first proposed and nine years after a sod-turning ceremony was held, the first phase of the Umzimvubu Water Project will start in the next financial year.     "
"158",2023,"Ramaphosa","This phase, which involves construction of the Ntabelanga Dam, irrigation infrastructure and the distribution of water to communities, will be financed by government.     "
"159",2023,"Ramaphosa","The next phase will be the construction of the Lilane Dam, which will include a hydropower station.   "
"160",2023,"Ramaphosa","Major projects to increase the capacity of the Clanwilliam Dam, Hazelmere Dam and the Tzaneen Dam will improve the supply of water to the West Coast, eThekwini and the eastern part of Limpopo.      "
"161",2023,"Ramaphosa","Last year, we announced a comprehensive turnaround plan to streamline the process for water use licence applications, which is vital to enable greater investment.     "
"162",2023,"Ramaphosa","Since then, we have cleared the backlog of water-use licences and reduced the turnaround time for applications to 90 days.      "
"163",2023,"Ramaphosa","Our infrastructure build programme is gaining pace through the work of the Infrastructure Fund and Infrastructure South Africa, which has been established to support strategic infrastructure projects.    "
"164",2023,"Ramaphosa","One of the greatest obstacles to infrastructure investment is the lack of technical skills and project management capacity.     "
"165",2023,"Ramaphosa","To fix this, Infrastructure South Africa has been allocated R600 million for project preparation, specifically in rural and under-resourced areas.      "
"166",2023,"Ramaphosa","The support and planning mechanisms that we have put in place over several years are now starting to bear fruit in increased public investment in infrastructure.     "
"167",2023,"Ramaphosa","By January this year, projects worth R232 billion were under construction and projects worth nearly R4 billion had been completed.      "
"168",2023,"Ramaphosa","The completed projects include new human settlements in Gauteng, road upgrades and the development of small harbours.     "
"169",2023,"Ramaphosa","In a major development, the South African National Roads Agency – SANRAL – has awarded road construction contracts worth R18 billion over the last three months.     "
"170",2023,"Ramaphosa","The construction of the Msikaba Bridge and Mtentu Bridge will be finished and make travel in the Eastern Cape, much better.    "
"171",2023,"Ramaphosa","This investment will substantially benefit the construction industry and enable large-scale job creation, skills development and poverty relief, especially in nearby rural communities.      "
"172",2023,"Ramaphosa","Last year, we said we would increase the construction of rural bridges as part of the Welisizwe programme, to enable residents to easily and safely reach schools, workplaces and amenities.      "
"173",2023,"Ramaphosa","Twenty-four bridges in KwaZulu-Natal are currently under construction and site preparations are being made for a further 24 bridges.     "
"174",2023,"Ramaphosa","In the telecommunications sector, the completion of the spectrum auction has unlocked new investment and contributed R14 billion to the fiscus.    "
"175",2023,"Ramaphosa","During the course of this year, we will migrate the remaining households to digital television signal and complete the switch-off of analogue transmission.      "
"176",2023,"Ramaphosa","This will release valuable spectrum for the roll-out of 5G mobile networks and will reduce the cost of data.      "
"177",2023,"Ramaphosa","These actions will bring us closer to our vision of affordable, high-speed Internet access for all.      "
"178",2023,"Ramaphosa","In the SoNA last year, we said that we would concentrate our efforts on mobilising greater levels of investment, which is essential to growing the economy and creating jobs.      "
"179",2023,"Ramaphosa","We said that we would give impetus to the campaign that we embarked on nearly five years ago to raise R1.2 trillion in new investment.      "
"180",2023,"Ramaphosa","Last year, the 4th South Africa Investment Conference (SAIC) raised R367 billion in investment commitments, bringing our five-year investment target firmly within sight.      "
"181",2023,"Ramaphosa","Over the last year, many of these commitments have resulted in the companies that made those commitments investing in new factories, call centres, solar power plants, undersea fibre optic cables, the expansion of production lines and the adoption of new technologies.      "
"182",2023,"Ramaphosa","Importantly, these investments have resulted in new jobs and new opportunities for small emerging businesses.      "
"183",2023,"Ramaphosa","On 13 April this year, we will hold our 5th SAIC.      "
"184",2023,"Ramaphosa","At this conference, we will set a new target to mobilise more than R2 trillion in new investment by 2028.      "
"185",2023,"Ramaphosa","The investments that have flowed into the economy to date have contributed to a substantial increase in local production.      "
"186",2023,"Ramaphosa","These investments have encouraged our efforts to buy local.      "
"187",2023,"Ramaphosa","Last year, I delivered the SoNA wearing a suit and shoes proudly made in South Africa.      "
"188",2023,"Ramaphosa","This evening, I am drinking water from a glass made in Wadeville last week by workers from Katlehong, Vosloorus and Germiston.      "
"189",2023,"Ramaphosa","For many years, South Africa has been importing its drinking glasses.     "
"190",2023,"Ramaphosa","Now we are increasingly making them locally.      "
"191",2023,"Ramaphosa","But it’s not just glasses.     "
"192",2023,"Ramaphosa","If you go to hospital for an operation, chances are you will receive an anaesthetic made in a world-class manufacturing facility in the Eastern Cape.      "
"193",2023,"Ramaphosa","During my State Visit to the United Kingdom last year, a South African firm obtained a licence to produce an oral vaccine for cholera for the first time here in South Africa.      "
"194",2023,"Ramaphosa","Competition merger agreements have provided for more fuel to be refined locally and more food to be bought from local farmers.      "
"195",2023,"Ramaphosa","Last year, we committed to unlocking investment in the hemp and cannabis sector.     "
"196",2023,"Ramaphosa","We are moving to create the enabling conditions for the sector to grow.      "
"197",2023,"Ramaphosa","The Department of Agriculture, Land Reform and Rural Development and the Department of Health will address existing conditions for the cultivation of hemp and cannabis to allow outdoor cultivation and collection of harvests from traditional farmers.      "
"198",2023,"Ramaphosa","This will unlock enormous economic energy in the rural areas of the country, especially in the Eastern Cape, KwaZulu-Natal and Mpumalanga.     "
"199",2023,"Ramaphosa","Urgent work is being finalised by government to create an enabling regulatory framework for a whole plant, all legitimate purposes approach for complimentary medicines, food, cosmetics, and industrial products, aligned to international conventions and best practices.     "
"200",2023,"Ramaphosa","This includes the reprioritisation of departmental budgets for sector development and support for traditional, black farmers, and the alignment of the SAPS enforcement with regulatory reforms.     "
"201",2023,"Ramaphosa","A growing economy must also be an increasingly inclusive economy.     "
"202",2023,"Ramaphosa","The inaugural Black Industrialists Conference in July last year showed the successes of black South Africans in producing food, car parts, furniture, clothing, steel, chemicals and mining products, creating many thousands of jobs and adding to our gross domestic product.      "
"203",2023,"Ramaphosa","We now have almost 1 000 black industrialists participating in the black industrialists programme.    "
"204",2023,"Ramaphosa","As an example of the technological prowess of these industrialists, one of the award winners at the conference was Astrofica Technologies, a company co-founded by a black woman, Jessie Ndaba, that provides data solutions for the operation of satellites.     "
"205",2023,"Ramaphosa","We have made progress in the last year in achieving greater levels of worker ownership in the economy.      "
"206",2023,"Ramaphosa","There are now more than 400 000 workers who own shares in the firms they work for.      "
"207",2023,"Ramaphosa","Growth and the creation of jobs in our economy will be driven by small- and medium-sized enterprises, cooperatives and informal businesses.      "
"208",2023,"Ramaphosa","Last year, we launched the bounce-back loan scheme administered by banks and other financial institutions, and guaranteed by government, for companies that need finance to recover from the effects of the pandemic.      "
"209",2023,"Ramaphosa","The Department of Small Business Development will work with National Treasury on how the scheme can be strengthened to assist small and medium enterprises and businesses in the informal sector.     "
"210",2023,"Ramaphosa","To address the challenge of youth unemployment, the Employment Tax Incentive has been expanded to encourage businesses to hire more young people in large numbers.      "
"211",2023,"Ramaphosa","Last year, I announced that we would be seeking to reduce red tape so that we can rid our country of the unnecessary bureaucracy that often holds us back.      "
"212",2023,"Ramaphosa","The red tape reduction team in The Presidency under Mr Sipho Nkosi has been working with various departments to make it easier to do business.      "
"213",2023,"Ramaphosa","It has taken a collaborative approach, working with departments and agencies in areas such as the mining rights system, tourism transport operator licenses, visas and work permits, early childhood development and the informal sector.      "
"214",2023,"Ramaphosa","This year, we will finalise amendments to the Businesses Act, 1991 (Act 71 of 1991) to reduce regulatory impediments for small, medium and micro enterprises (SMMEs) and co-operatives and make it easier for entrepreneurs to start businesses.      "
"215",2023,"Ramaphosa","Through the Small Enterprise Finance Agency – we plan to provide R1.4 billion in financing to over 90 000 entrepreneurs.      "
"216",2023,"Ramaphosa","Government, in partnership with the SA SME Fund is working to establish a R10 billion fund to support SMME growth. "
"217",2023,"Ramaphosa","Government is looking at the possibility of providing R2.5 billion for the fund and for the balance of R7.5 billion to be raised from the private sector.     "
"218",2023,"Ramaphosa","The licensing of the PostBank will lay the foundation for the creation of a state bank that will provide financial services to SMMEs, youth- and women-owned businesses and underserved communities.     "
"219",2023,"Ramaphosa","As the National Assembly considers the Postbank Amendment Bill, the Postbank is reviewing its service offerings so that it can provide a viable and affordable alternative to the commercial banks.      "
"220",2023,"Ramaphosa","The most effective and sustainable way to build an economy is to equip people with the skills and know-how to drive it.      "
"221",2023,"Ramaphosa","We have therefore been working to strengthen the link between the skills that we develop and the skills the workplace needs.      "
"222",2023,"Ramaphosa","This year, the National Skills Fund will provide R800 million to develop skills in the digital and technology sector through an innovative model that links payment for training to employment outcomes.      "
"223",2023,"Ramaphosa","We reiterate our call to companies, departments and SOEs to remove the requirement for work experience for young people seeking entry-level positions.     "
"224",2023,"Ramaphosa","Last year, we said that we would place over 10 000 Technical and Vocational Education and Training (TVET) college graduates in employment.      "
"225",2023,"Ramaphosa","We have surpassed that figure and have now set a target for 2023 of 20 000 TVET to be placed in employment.      "
"226",2023,"Ramaphosa","The number of students entering artisan training in TVET colleges will be increased from 17 000 to 30 000 in the 2023 academic year.      "
"227",2023,"Ramaphosa","One of the key ingredients for economic growth and competitiveness is the ability to attract skills which the economy needs.      "
"228",2023,"Ramaphosa","Having completed a comprehensive review of the work visa system, we will move quickly to implement the recommendations put forward.      "
"229",2023,"Ramaphosa","These include establishing a more flexible points-based system to attract skilled immigration, implementing a trusted employer scheme to make the visa process easier for large investors and streamlining application requirements.      "
"230",2023,"Ramaphosa","We will also be introducing a remote worker visa and a special dispensation for high-growth start-ups.    "
"231",2023,"Ramaphosa","While the reform programme is underway, we will continue to support public and social employment to provide work to those who need it.      "
"232",2023,"Ramaphosa","Last year, we spoke about the value of the Presidential Employment Stimulus in providing work and livelihood opportunities.     "
"233",2023,"Ramaphosa","The initiative has now created over one million opportunities, reaching every province and district in our country.      "
